Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,bootstrap,ccp_alpha,criterion,max_depth,max_features,max_leaf_nodes,max_samples,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,n_jobs,oob_score,random_state,verbose,warm_start,mae,mse,r2,rmse
2022-03-04 19:47:49,40ms,32ade21afbe24e63b72cb2fdbccff9b2,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,70,4,,,,1,10,,1240,,,,,,178588.69021232773,69154055915.4498,0.7556978670510729,262971.58765815326
2022-03-01 23:58:11,22ms,a40f1d8540e14b4281c0680c08f4b05b,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,100,6,,,,2,12,,1930,,,,,,178600.58867630237,69688639465.33136,0.7538093313788463,263986.0592253526
2022-03-02 00:13:45,21ms,522210a515634d268df6d2a54cb9f0c6,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,60,4,,,,1,10,,1255,,,,,,178613.72598936164,69192377005.51207,0.7555624892497971,263044.4392218016
2022-03-02 00:13:52,66ms,2e4ca8d10df54cf883eb04c7316843cb,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,110,4,,,,1,10,,1135,,,,,,178614.06849127496,69127545721.85297,0.755791520225205,262921.17777359235
2022-03-04 19:50:38,26ms,e96ad329e6de4fe2bc4ce5a5d516b4ac,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,70,4,,,,1,10,,1270,,,,,,178615.20508822033,69131830710.4853,0.7557763825467466,262929.3264557708
2022-03-04 19:50:25,31ms,215c99fb5a804cf3ae0c3dfe03b9cf19,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,80,4,,,,1,10,,1270,,,,,,178615.20508822033,69131830710.4853,0.7557763825467466,262929.3264557708
2022-03-04 19:50:18,23ms,f65d3e88fecf416baafbaddb690e0f17,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,70,4,,,,1,10,,1270,,,,,,178615.20508822033,69131830710.4853,0.7557763825467466,262929.3264557708
2022-03-02 00:14:40,30ms,ebb51e13b72e4494a3dbd48b0c065c82,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,110,4,,,,1,10,,955,,,,,,178624.14749112143,69187496069.86642,0.7555797322440543,263035.1612805148
2022-03-04 19:51:29,24ms,fb511abbb8f54c3084c67ad46f37090b,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,60,4,,,,1,10,,1210,,,,,,178624.52853332358,69187413403.7563,0.7555800242805337,263035.00414157106
2022-03-04 19:51:09,33ms,55d85f7b200745859beb08d8f739ea7e,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,60,4,,,,1,10,,1360,,,,,,178637.96211154395,69183220723.84406,0.7555948358578415,263027.0342072162
2022-03-02 00:07:48,26ms,205ef32b9b3242f9b2fa710ffa0ffbaf,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,110,4,,,,1,10,,985,,,,,,178648.6957753453,69195794658.62971,0.7555504156275739,263050.93548328185
2022-03-01 23:46:47,18ms,725559d187f2463abfb955b2afd428ab,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,80,5,,,,2,10,,805,,,,,,178649.032753174,69389029281.59444,0.7548677712052774,263417.97448464757
2022-03-04 19:50:11,29ms,3374361630db47739d08a252d6855e95,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,70,4,,,,1,10,,865,,,,,,178679.18787566514,69278156885.11513,0.7552594526849317,263207.44078599894
2022-03-04 19:48:36,32ms,cb164e4681324447a081aff0e3902084,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,80,4,,,,1,10,,865,,,,,,178679.18787566514,69278156885.11513,0.7552594526849317,263207.44078599894
2022-03-04 19:47:05,24ms,05c5acf7e6c5412f9a487f25c95a30a3,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,70,4,,,,1,10,,865,,,,,,178679.18787566514,69278156885.11513,0.7552594526849317,263207.44078599894
2022-03-04 19:51:43,26ms,bfa12879865546fc8bc9721b5d5c6a53,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,70,4,,,,1,10,,745,,,,,,178696.17569087626,69286220470.60892,0.7552309662699372,263222.7582687502
2022-03-04 19:50:32,26ms,c52d921add3649b18c4bdff0bc3bb81e,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,50,4,,,,1,10,,760,,,,,,178704.2189935119,69302290044.33359,0.7551741969151315,263253.2811653704
2022-03-04 19:53:20,35ms,70b378d404fa4713bbb25d1f70f827c9,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,100,4,,,,1,10,,1450,,,,,,178726.85943133937,69251606560.48775,0.7553532476308836,263156.99983182614
2022-03-02 00:12:36,28ms,7c3b045c11e04d849f89884f3f0c6db7,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,110,4,,,,1,10,,1645,,,,,,178758.39675380808,69337656837.17094,0.7550492558279986,263320.44515603216
2022-03-04 19:52:19,31ms,53f1851055ba422496347c3ccf7c8fe7,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,70,4,,,,1,10,,1570,,,,,,178771.21970342402,69332507655.0779,0.7550674464626855,263310.667567947
2022-03-02 00:13:38,20ms,a786da8a6430428c8f2e5b1fd5680688,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,110,4,,,,1,10,,1675,,,,,,178775.08164152293,69379314662.64879,0.7549020902643375,263399.5342870765
2022-03-02 00:00:50,33.3s,fbbed56684d144c298c2cfe42601133f,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,70,6,,,,4,10,,2245,,,,,,178784.27618111417,69812294113.9245,0.7533724937414807,264220.1622017603
